OBJECTID_1,OBJECTID,permit_no,PROJTITLE,START_DATE,FINISH_DAT,STREET_NAM,PAVED_DATE,SHAPE_Length
4436,5817,13-0193-10119,"Rehabilitation of Localized Streets, Phase 11B Kuliouou, Hahaione Valley, Mariners Ridge",2014/05/05 00:00:00+00,2015/07/25 00:00:00+00,Elelupe Pl,2014/09/30 00:00:00+00,0.00097042980235068
4437,5818,10-0402-11033,"Rehabilitation of Localized Streets, Phase 10A (Kailua Town, Kalaheo Hillside, Waimanalo & Waimalo Beach Areas)",2013/05/20 00:00:00+00,2015/04/24 00:00:00+00,Kaiemi St,2013/09/17 00:00:00+00,0.00367680333429632
4438,5819,13-0195-9952,"Rehabilitation of Localized Streets, Phase 11D (Portlock)",2015/03/09 00:00:00+00,2016/03/07 00:00:00+00,Kalakua St,2015/06/23 00:00:00+00,0.000452593515157573
4439,5820,10-0465-9932,"Rehabilitation of Localized Streets, Phase 6B (McCully/ Makiki/upper Makiki)",2012/03/27 00:00:00+00,2012/12/31 00:00:00+00,Aaliamanu Pl,2013/03/13 00:00:00+00,0.00278457895637927
4440,5821,13-0562-13670,"Rehabilitation of Localized Streets, Phase 14A (Palolo Valley)",2015/08/03 00:00:00+00,2016/09/09 00:00:00+00,Carlos Long St,2016/02/09 00:00:00+00,0.000710535931683761
4441,5822,11-0011-10076,"Rehabilitation of Localized Streets, Phase 11A Waialae Nui, Waialae Iki, Aina Haina",2014/01/06 00:00:00+00,2015/02/07 00:00:00+00,Aholehole St,2014/02/07 00:00:00+00,0.00142902637089541
4442,5823,13-0193-10225,"Rehabilitation of Localized Streets, Phase 11B Kuliouou, Hahaione Valley, Mariners Ridge",2014/05/05 00:00:00+00,2015/07/25 00:00:00+00,Makaa St,2014/09/27 00:00:00+00,0.00276335539706968
4443,5824,13-0193-10194,"Rehabilitation of Localized Streets, Phase 11B Kuliouou, Hahaione Valley, Mariners Ridge",2014/05/05 00:00:00+00,2015/07/25 00:00:00+00,Kaahue St,2015/02/12 00:00:00+00,0.00263886329559047
4444,5825,04-1094-3656,"Rehabilitation of Streets, Unit 25 (Lunalilo Home Road, Wailua Street, Hawaii Kai Dr, Niumalu Loop, Kamilo St, Naakea St, Kukii St, Paoo St, Opai St, Kokomo Pl., Halaula Pl, Naakea Pl., Olohena St, Hoopii Pl.)",2013/03/04 00:00:00+00,2014/03/10 00:00:00+00,Kamilo St,2013/06/26 00:00:00+00,0.000920490810846394
4445,5826,13-0193-10125,"Rehabilitation of Localized Streets, Phase 11B Kuliouou, Hahaione Valley, Mariners Ridge",2014/05/05 00:00:00+00,2015/07/25 00:00:00+00,Kahinu St,2014/09/24 00:00:00+00,0.000912629792205412
4446,5827,10-0402-11103,"Rehabilitation of Localized Streets, Phase 10A (Kailua Town, Kalaheo Hillside, Waimanalo & Waimalo Beach Areas)",2013/05/20 00:00:00+00,2015/04/24 00:00:00+00,Wailepo St,2013/08/14 00:00:00+00,0.00303505537599539
4447,5828,13-0562-13714,"Rehabilitation of Localized Streets, Phase 14A (Palolo Valley)",2015/08/03 00:00:00+00,2016/09/09 00:00:00+00,Maluhia St,2015/09/17 00:00:00+00,0.00131278179403183
4448,5829,04-1094-3663,"Rehabilitation of Streets, Unit 25 (Lunalilo Home Road, Wailua Street, Hawaii Kai Dr, Niumalu Loop, Kamilo St, Naakea St, Kukii St, Paoo St, Opai St, Kokomo Pl., Halaula Pl, Naakea Pl., Olohena St, Hoopii Pl.)",2013/03/04 00:00:00+00,2014/03/10 00:00:00+00,Naakea Pl,2013/05/22 00:00:00+00,0.000465727960182368
4449,5830,10-0402-11036,"Rehabilitation of Localized Streets, Phase 10A (Kailua Town, Kalaheo Hillside, Waimanalo & Waimalo Beach Areas)",2013/05/20 00:00:00+00,2015/04/24 00:00:00+00,Kaikaina St,2013/07/26 00:00:00+00,0.00124033401208682
4450,5831,08-0586-3671,"Rehabilitation of Streets, Unit 56 (Kailua Area)",2013/02/11 00:00:00+00,2018/12/18 00:00:00+00,Aukele St,2013/08/31 00:00:00+00,0.0025123265105059
4451,5832,14-0103-12852,"Rehabilitation of Localized Streets, Phase 13D (Kaneohe Area: Kahaluu, Waihee Valley, Waiahole and Waikane)",2015/12/08 00:00:00+00,2016/11/01 00:00:00+00,Mapele Way,2016/06/08 00:00:00+00,0.00355869135435125
4452,5833,13-0194-10275,"Rehabilitation of Localized Streets, Phase 11C (Kalama Valley, Kamehame Ridge, Hawaii Kai)",2014/12/01 00:00:00+00,2015/12/02 00:00:00+00,Hoa St,2015/03/23 00:00:00+00,0.00313707798318176
4453,5834,09-0624-6189,"Rehabilitation of Localized Streets, Phase 8A (Mililani)",2013/04/01 00:00:00+00,2014/08/10 00:00:00+00,Alapoai St,2013/09/19 00:00:00+00,0.00176424159611143
4454,5835,10-0401-9693,"Rehabilitation of Localized Streets, Phase 9 (East Mililani and Mililani Tech)",2013/05/06 00:00:00+00,2015/07/16 00:00:00+00,Waihonu Pl,2013/09/09 00:00:00+00,0.00126106813176743
4455,5836,08-0586-8101,"Rehabilitation of Streets, Unit 56 (Kailua Area)",2013/02/11 00:00:00+00,2018/12/18 00:00:00+00,Akamai St,2013/08/31 00:00:00+00,0.00180144790826717
4456,5837,10-0465-8116,"Rehabilitation of Localized Streets, Phase 6B (McCully/ Makiki/upper Makiki)",2012/03/27 00:00:00+00,2012/12/31 00:00:00+00,Alexander St,2013/03/13 00:00:00+00,0.000960210914007042
4457,5838,10-0402-11001,"Rehabilitation of Localized Streets, Phase 10A (Kailua Town, Kalaheo Hillside, Waimanalo & Waimalo Beach Areas)",2013/05/20 00:00:00+00,2015/04/24 00:00:00+00,Waikupanaha St,2013/09/05 00:00:00+00,0.00320600469449754
4458,5839,11-0169-10720,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Uakanikoo St,2013/05/09 00:00:00+00,0.000437368989618844
4459,5840,13-0342-11312,"Rehabilitation of Localized Streets, Phase 10B (Maunawili, Olomana, Pohakupu, Enchanted Lakes Areas)",2013/07/15 00:00:00+00,2015/02/06 00:00:00+00,Ka Awakea Rd,2014/04/14 00:00:00+00,0.00156005410697102
4460,5841,08-0587-3698,"Rehabilitation of Streets, Unit 57 (Kaimuki)",2012/07/02 00:00:00+00,2014/09/19 00:00:00+00,13th Ave,2013/03/12 00:00:00+00,0.000978480295408685
4461,5842,10-0402-10948,"Rehabilitation of Localized Streets, Phase 10A (Kailua Town, Kalaheo Hillside, Waimanalo & Waimalo Beach Areas)",2013/05/20 00:00:00+00,2015/04/24 00:00:00+00,Nakini St,2013/07/24 00:00:00+00,0.000913426585216246
4462,5843,04-1094-3654,"Rehabilitation of Streets, Unit 25 (Lunalilo Home Road, Wailua Street, Hawaii Kai Dr, Niumalu Loop, Kamilo St, Naakea St, Kukii St, Paoo St, Opai St, Kokomo Pl., Halaula Pl, Naakea Pl., Olohena St, Hoopii Pl.)",2013/03/04 00:00:00+00,2014/03/10 00:00:00+00,Lunalilo Home Rd,2014/01/17 00:00:00+00,0.00200786480558243
4463,5844,13-0342-11350,"Rehabilitation of Localized Streets, Phase 10B (Maunawili, Olomana, Pohakupu, Enchanted Lakes Areas)",2013/07/15 00:00:00+00,2015/02/06 00:00:00+00,Poo Pl,2014/04/03 00:00:00+00,0.000321369005383722
4464,5845,13-0195-9948,"Rehabilitation of Localized Streets, Phase 11D (Portlock)",2015/03/09 00:00:00+00,2016/03/07 00:00:00+00,Hanapepe Lp,2015/10/09 00:00:00+00,0.0011431991045195
4465,5846,09-0771-12045,"Rehabilitation of Localized Streets, Phase 7B (Kalihi Valley, Ewa Beach, West Loch, and Ewa Villages Areas)",2012/07/02 00:00:00+00,2014/04/15 00:00:00+00,Pahika St,2013/02/25 00:00:00+00,0.000344708141747703
4466,5847,13-0342-11200,"Rehabilitation of Localized Streets, Phase 10B (Maunawili, Olomana, Pohakupu, Enchanted Lakes Areas)",2013/07/15 00:00:00+00,2015/02/06 00:00:00+00,Lola Way,2014/01/24 00:00:00+00,0.000307429884176729
4467,5848,12-0014-9517,"Rehabilitation of Streets, Unit 78 (Mapunapuna Area)",2020/03/01 00:00:00+00,2021/03/19 00:00:00+00,Pukoloa St,2021/04/08 00:00:00+00,0.00101749912770598
4468,5849,10-0401-9682,"Rehabilitation of Localized Streets, Phase 9 (East Mililani and Mililani Tech)",2013/05/06 00:00:00+00,2015/07/16 00:00:00+00,Puanane Lp,2013/11/20 00:00:00+00,0.00267655264428294
4469,5850,11-0169-10718,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Nani Ihi Ave,2013/05/30 00:00:00+00,0.000453970459767159
4470,5851,11-0011-10079,"Rehabilitation of Localized Streets, Phase 11A Waialae Nui, Waialae Iki, Aina Haina",2014/01/06 00:00:00+00,2015/02/07 00:00:00+00,Ailuna St,2014/03/11 00:00:00+00,0.000641182510492741
4471,5852,11-0169-10640,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Loko Pl,2013/07/24 00:00:00+00,0.000970857808188306
4472,5853,10-0465-8144,"Rehabilitation of Localized Streets, Phase 6B (McCully/ Makiki/upper Makiki)",2012/03/27 00:00:00+00,2012/12/31 00:00:00+00,Keopua St,2013/03/13 00:00:00+00,0.00074848800197738
4473,5854,10-0402-11015,"Rehabilitation of Localized Streets, Phase 10A (Kailua Town, Kalaheo Hillside, Waimanalo & Waimalo Beach Areas)",2013/05/20 00:00:00+00,2015/04/24 00:00:00+00,Ainoni St,2013/06/24 00:00:00+00,0.00216833857487899
4474,5855,11-0169-10700,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Circle Mauka Pl,2013/05/22 00:00:00+00,0.00124929113368661
4475,5856,09-0598-6368,"Rehabilitation of Localized Streets, Phase 6A (Moiliili/ McCully/ Makiki)",2012/03/05 00:00:00+00,2013/08/11 00:00:00+00,Wiliwili St,2013/01/28 00:00:00+00,0.000809036130785149
4476,5857,09-0624-6209,"Rehabilitation of Localized Streets, Phase 8A (Mililani)",2013/04/01 00:00:00+00,2014/08/10 00:00:00+00,Hailono Pl,2013/09/09 00:00:00+00,0.000925755944092149
4477,5858,14-0331-12698,"Rehabilitation of Localized Streets, Phase 13F (Kaneohe Area: Keapuka)",2016/03/07 00:00:00+00,2018/01/13 00:00:00+00,Holio Pl,2018/06/22 00:00:00+00,0.000319023378431356
4478,5859,09-0771-12010,"Rehabilitation of Localized Streets, Phase 7B (Kalihi Valley, Ewa Beach, West Loch, and Ewa Villages Areas)",2012/07/02 00:00:00+00,2014/04/15 00:00:00+00,Hapua St,2013/01/31 00:00:00+00,0.00106285762791476
4479,5860,08-0587-3710,"Rehabilitation of Streets, Unit 57 (Kaimuki)",2012/07/02 00:00:00+00,2014/09/19 00:00:00+00,"Keanu Street, include city maintained private road off of Keanu Street serving 4052B Keanu St",2013/08/31 00:00:00+00,0.000390802907330744
4480,5861,11-0166-8257,"Rehabilitation of Streets, Unit 71 (Hawaii Kai)",2013/11/04 00:00:00+00,2014/10/02 00:00:00+00,Hawaii Kai Dr,2014/05/28 00:00:00+00,0.000657503864144354
4481,5862,09-0624-6309,"Rehabilitation of Localized Streets, Phase 8A (Mililani)",2013/04/01 00:00:00+00,2014/08/10 00:00:00+00,Manawahine Pl,2013/11/01 00:00:00+00,0.000731910115354723
4482,5863,10-0465-8166,"Rehabilitation of Localized Streets, Phase 6B (McCully/ Makiki/upper Makiki)",2012/03/27 00:00:00+00,2012/12/31 00:00:00+00,Prospect St,2013/03/13 00:00:00+00,0.00309331657837495
4483,5864,11-0164-8254,Rehabilitation of Streets Unit 69 (Lilipuna Road),2013/09/30 00:00:00+00,2014/03/28 00:00:00+00,Lilipuna Rd,2013/11/26 00:00:00+00,0.000943690817232878
4484,5865,13-0195-9940,"Rehabilitation of Localized Streets, Phase 11D (Portlock)",2015/03/09 00:00:00+00,2016/03/07 00:00:00+00,Anakua St,2015/08/07 00:00:00+00,0.00217648124738944
4485,5866,10-0009-12589,"Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ)  No. 3 (Slurry Seal/ Paving) Mililani Mauka Streets",2010/06/24 00:00:00+00,2011/06/23 00:00:00+00,Ulahea St,2013/01/25 00:00:00+00,0.000951626331893355
4486,5867,14-0331-12705,"Rehabilitation of Localized Streets, Phase 13F (Kaneohe Area: Keapuka)",2016/03/07 00:00:00+00,2018/01/13 00:00:00+00,Kanaka St,2018/04/10 00:00:00+00,0.000726017792680047
4487,5868,11-0169-10686,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Thomas St,2013/09/26 00:00:00+00,0.00109337762068659
4488,5869,13-0195-9970,"Rehabilitation of Localized Streets, Phase 11D (Portlock)",2015/03/09 00:00:00+00,2016/03/07 00:00:00+00,Lanipuao St,2015/06/29 00:00:00+00,0.00247273006014669
4489,5870,11-0169-10570,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Circle Dr,2013/09/26 00:00:00+00,0.00231343319357476
4490,5871,09-0771-12078,"Rehabilitation of Localized Streets, Phase 7B (Kalihi Valley, Ewa Beach, West Loch, and Ewa Villages Areas)",2012/07/02 00:00:00+00,2014/04/15 00:00:00+00,Opaehuna St,2014/02/20 00:00:00+00,0.00165138112424258
4491,5872,11-0011-10059,"Rehabilitation of Localized Streets, Phase 11A Waialae Nui, Waialae Iki, Aina Haina",2014/01/06 00:00:00+00,2015/02/07 00:00:00+00,Keikilani Cir,2014/10/10 00:00:00+00,0.00299586922453067
4492,5873,13-0195-9965,"Rehabilitation of Localized Streets, Phase 11D (Portlock)",2015/03/09 00:00:00+00,2016/03/07 00:00:00+00,Kikoo Pl,2015/07/20 00:00:00+00,0.00144309737412768
4493,5874,11-0169-10572,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Clark St,2013/09/26 00:00:00+00,0.00210194411373689
4494,5875,11-0169-10611,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Kilani Ave,2013/09/26 00:00:00+00,0.000241956594501839
4495,5876,13-0193-10124,"Rehabilitation of Localized Streets, Phase 11B Kuliouou, Hahaione Valley, Mariners Ridge",2014/05/05 00:00:00+00,2015/07/25 00:00:00+00,Kaeleloi Pl,2014/08/29 00:00:00+00,0.00359650035411197
4496,5877,09-0624-6306,"Rehabilitation of Localized Streets, Phase 8A (Mililani)",2013/04/01 00:00:00+00,2014/08/10 00:00:00+00,Makohilani St,2014/05/06 00:00:00+00,0.000515885655665739
4497,5878,11-0011-10072,"Rehabilitation of Localized Streets, Phase 11A Waialae Nui, Waialae Iki, Aina Haina",2014/01/06 00:00:00+00,2015/02/07 00:00:00+00,Poola St,2014/05/08 00:00:00+00,0.0063203368476387
4498,5879,11-0169-10690,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Uuku St,2013/07/24 00:00:00+00,0.000693309451194551
4499,5880,08-0453-3612,"Rehabilitation of Streets, Unit 55 (Pearl City Area)",2013/03/18 00:00:00+00,2013/10/13 00:00:00+00,Hapaki St,2013/08/20 00:00:00+00,0.00056202528224145
4500,5881,11-0011-10026,"Rehabilitation of Localized Streets, Phase 11A Waialae Nui, Waialae Iki, Aina Haina",2014/01/06 00:00:00+00,2015/02/07 00:00:00+00,Oili Lp,2014/08/29 00:00:00+00,0.00284556576082805
4501,5882,11-0169-10580,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Glenview Pl,2013/07/12 00:00:00+00,0.00040861171086859
4502,5883,10-0402-10948,"Rehabilitation of Localized Streets, Phase 10A (Kailua Town, Kalaheo Hillside, Waimanalo & Waimalo Beach Areas)",2013/05/20 00:00:00+00,2015/04/24 00:00:00+00,Nakini St,2013/07/24 00:00:00+00,0.000731168673013783
4503,5884,14-0331-12715,"Rehabilitation of Localized Streets, Phase 13F (Kaneohe Area: Keapuka)",2016/03/07 00:00:00+00,2018/01/13 00:00:00+00,Loihi Pl,2018/07/10 00:00:00+00,0.00072038356542157
4504,5886,13-0858-13745,"Rehabilitation of Localized Streets, Phase 14B (St Louis Heights )",2017/04/06 00:00:00+00,2018/04/05 00:00:00+00,Felix St,2018/02/16 00:00:00+00,0.0024782369413702
4505,5887,04-1094-3654,"Rehabilitation of Streets, Unit 25 (Lunalilo Home Road, Wailua Street, Hawaii Kai Dr, Niumalu Loop, Kamilo St, Naakea St, Kukii St, Paoo St, Opai St, Kokomo Pl., Halaula Pl, Naakea Pl., Olohena St, Hoopii Pl.)",2013/03/04 00:00:00+00,2014/03/10 00:00:00+00,Lunalilo Home Rd,2014/01/17 00:00:00+00,0.000800002184603193
4506,5888,10-0009-12584,"Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ)  No. 3 (Slurry Seal/ Paving) Mililani Mauka Streets",2010/06/24 00:00:00+00,2011/06/23 00:00:00+00,Kahanui St,2013/06/20 00:00:00+00,0.00067923164325519
4507,5889,13-0342-11271,"Rehabilitation of Localized Streets, Phase 10B (Maunawili, Olomana, Pohakupu, Enchanted Lakes Areas)",2013/07/15 00:00:00+00,2015/02/06 00:00:00+00,Akiahala St,2014/03/24 00:00:00+00,0.00150595858634194
4508,5890,13-0959-12994,"Rehabilitation of Localized Streets, Phase 13C (North Shore)",2015/04/13 00:00:00+00,2016/04/07 00:00:00+00,Pupukea Rd,2015/08/04 00:00:00+00,0.00157332134837462
4509,5891,13-0959-12899,"Rehabilitation of Localized Streets, Phase 13C (North Shore)",2015/04/13 00:00:00+00,2016/04/07 00:00:00+00,Haukoi Pl,2015/12/07 00:00:00+00,0.00175517333253102
4510,5892,13-0193-10172,"Rehabilitation of Localized Streets, Phase 11B Kuliouou, Hahaione Valley, Mariners Ridge",2014/05/05 00:00:00+00,2015/07/25 00:00:00+00,Kulani St,2015/02/09 00:00:00+00,0.00160500598835298
4511,5893,11-0169-10639,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Loko Dr,2013/07/26 00:00:00+00,0.000455411241650462
4512,5894,13-0959-12900,"Rehabilitation of Localized Streets, Phase 13C (North Shore)",2015/04/13 00:00:00+00,2016/04/07 00:00:00+00,Hauula Hmstd Rd,2015/12/05 00:00:00+00,0.000966718324820651
4513,5895,04-1094-3658,"Rehabilitation of Streets, Unit 25 (Lunalilo Home Road, Wailua Street, Hawaii Kai Dr, Niumalu Loop, Kamilo St, Naakea St, Kukii St, Paoo St, Opai St, Kokomo Pl., Halaula Pl, Naakea Pl., Olohena St, Hoopii Pl.)",2013/03/04 00:00:00+00,2014/03/10 00:00:00+00,Hoopii Pl,2013/05/14 00:00:00+00,0.000303059958540383
4514,5897,11-0169-10697,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Aheahe Ave,2013/05/22 00:00:00+00,0.000543739803273422
4515,5898,11-0011-10005,"Rehabilitation of Localized Streets, Phase 11A Waialae Nui, Waialae Iki, Aina Haina",2014/01/06 00:00:00+00,2015/02/07 00:00:00+00,Akiaki Pl,2014/09/05 00:00:00+00,0.0018950221847509
4516,5899,08-0453-3615,"Rehabilitation of Streets, Unit 55 (Pearl City Area)",2013/03/18 00:00:00+00,2013/10/13 00:00:00+00,Kaahele St,2013/08/15 00:00:00+00,0.00278123908563913
4517,5900,13-0562-13689,"Rehabilitation of Localized Streets, Phase 14A (Palolo Valley)",2015/08/03 00:00:00+00,2016/09/09 00:00:00+00,Kaau St,2015/09/17 00:00:00+00,0.00130656192488171
4518,5901,13-0193-10147,"Rehabilitation of Localized Streets, Phase 11B Kuliouou, Hahaione Valley, Mariners Ridge",2014/05/05 00:00:00+00,2015/07/25 00:00:00+00,Ainapo St,2015/04/01 00:00:00+00,0.00241992523609248
4519,5902,13-0195-9954,"Rehabilitation of Localized Streets, Phase 11D (Portlock)",2015/03/09 00:00:00+00,2016/03/07 00:00:00+00,Kalalau St,2015/11/09 00:00:00+00,0.0024368118249403
4520,5904,04-1094-3654,"Rehabilitation of Streets, Unit 25 (Lunalilo Home Road, Wailua Street, Hawaii Kai Dr, Niumalu Loop, Kamilo St, Naakea St, Kukii St, Paoo St, Opai St, Kokomo Pl., Halaula Pl, Naakea Pl., Olohena St, Hoopii Pl.)",2013/03/04 00:00:00+00,2014/03/10 00:00:00+00,Lunalilo Home Rd,2014/01/17 00:00:00+00,0.000817359029410488
4521,5905,13-0342-11321,"Rehabilitation of Localized Streets, Phase 10B (Maunawili, Olomana, Pohakupu, Enchanted Lakes Areas)",2013/07/15 00:00:00+00,2015/02/06 00:00:00+00,Kanapuu Dr,2014/04/10 00:00:00+00,0.000739165742227309
4522,5906,09-0771-12056,"Rehabilitation of Localized Streets, Phase 7B (Kalihi Valley, Ewa Beach, West Loch, and Ewa Villages Areas)",2012/07/02 00:00:00+00,2014/04/15 00:00:00+00,Puuhala St,2013/01/25 00:00:00+00,0.000667750924220071
4523,5907,09-0598-6409,"Rehabilitation of Localized Streets, Phase 6A (Moiliili/ McCully/ Makiki)",2012/03/05 00:00:00+00,2013/08/11 00:00:00+00,Kalauokalani Way,2013/01/28 00:00:00+00,0.00233650013504231
4524,5908,14-0553-13223,"Rehabilitation of Localized Streets, Phase 12A (Kalihi, Kamehameha Heights, Alewa)",2015/04/06 00:00:00+00,2015/11/16 00:00:00+00,Hiu St,2015/05/13 00:00:00+00,9.85990579895105e-05
4525,5909,11-0164-8254,Rehabilitation of Streets Unit 69 (Lilipuna Road),2013/09/30 00:00:00+00,2014/03/28 00:00:00+00,Lilipuna Rd,2013/11/26 00:00:00+00,0.000514111431922032
4526,5910,13-0342-11206,"Rehabilitation of Localized Streets, Phase 10B (Maunawili, Olomana, Pohakupu, Enchanted Lakes Areas)",2013/07/15 00:00:00+00,2015/02/06 00:00:00+00,Lunaanela St,2014/02/26 00:00:00+00,0.00087577691311323
4527,5911,13-0195-9966,"Rehabilitation of Localized Streets, Phase 11D (Portlock)",2015/03/09 00:00:00+00,2016/03/07 00:00:00+00,Kokee Pl,2015/09/10 00:00:00+00,0.000322416937012276
4528,5912,13-0193-10177,"Rehabilitation of Localized Streets, Phase 11B Kuliouou, Hahaione Valley, Mariners Ridge",2014/05/05 00:00:00+00,2015/07/25 00:00:00+00,Nana Honua St,2015/04/17 00:00:00+00,0.000657534114002725
4529,5913,10-0401-9689,"Rehabilitation of Localized Streets, Phase 9 (East Mililani and Mililani Tech)",2013/05/06 00:00:00+00,2015/07/16 00:00:00+00,Waiala St,2013/09/11 00:00:00+00,0.000664756963470134
4530,5914,13-0193-10128,"Rehabilitation of Localized Streets, Phase 11B Kuliouou, Hahaione Valley, Mariners Ridge",2014/05/05 00:00:00+00,2015/07/25 00:00:00+00,Kaupalena St,2014/09/26 00:00:00+00,0.00141416514046469
4531,5915,13-0342-11271,"Rehabilitation of Localized Streets, Phase 10B (Maunawili, Olomana, Pohakupu, Enchanted Lakes Areas)",2013/07/15 00:00:00+00,2015/02/06 00:00:00+00,Akiahala St,2014/03/24 00:00:00+00,0.00249862974413224
4532,5916,09-0771-12040,"Rehabilitation of Localized Streets, Phase 7B (Kalihi Valley, Ewa Beach, West Loch, and Ewa Villages Areas)",2012/07/02 00:00:00+00,2014/04/15 00:00:00+00,Paeheulu St,2013/02/08 00:00:00+00,0.00107652980286769
4533,5917,11-0166-8257,"Rehabilitation of Streets, Unit 71 (Hawaii Kai)",2013/11/04 00:00:00+00,2014/10/02 00:00:00+00,Hawaii Kai Dr,2014/05/28 00:00:00+00,0.00210835734064159
4534,5918,09-0598-6388,"Rehabilitation of Localized Streets, Phase 6A (Moiliili/ McCully/ Makiki)",2012/03/05 00:00:00+00,2013/08/11 00:00:00+00,Mahiai St,2013/01/28 00:00:00+00,0.000196590225051236
4535,5920,12-0014-9515,"Rehabilitation of Streets, Unit 78 (Mapunapuna Area)",2020/03/01 00:00:00+00,2021/03/19 00:00:00+00,Mokumoa St,2021/02/12 00:00:00+00,0.0037196436031083
4536,5921,13-0195-9942,"Rehabilitation of Localized Streets, Phase 11D (Portlock)",2015/03/09 00:00:00+00,2016/03/07 00:00:00+00,Anapalau St,2015/09/10 00:00:00+00,0.00207044593383481
4537,5922,13-0342-11213,"Rehabilitation of Localized Streets, Phase 10B (Maunawili, Olomana, Pohakupu, Enchanted Lakes Areas)",2013/07/15 00:00:00+00,2015/02/06 00:00:00+00,Lunahelu St,2014/02/27 00:00:00+00,0.000889148089063813
4538,5923,10-0402-10918,"Rehabilitation of Localized Streets, Phase 10A (Kailua Town, Kalaheo Hillside, Waimanalo & Waimalo Beach Areas)",2013/05/20 00:00:00+00,2015/04/24 00:00:00+00,Ala Koa St,2013/07/03 00:00:00+00,0.00442918996037786
4539,5924,10-0401-9755,"Rehabilitation of Localized Streets, Phase 9 (East Mililani and Mililani Tech)",2013/05/06 00:00:00+00,2015/07/16 00:00:00+00,Kahelu Ave,2014/02/06 00:00:00+00,0.00224800187786713
4540,5925,09-0771-12003,"Rehabilitation of Localized Streets, Phase 7B (Kalihi Valley, Ewa Beach, West Loch, and Ewa Villages Areas)",2012/07/02 00:00:00+00,2014/04/15 00:00:00+00,Burke St,2013/01/11 00:00:00+00,0.000556443574592084
4541,5926,08-0453-3614,"Rehabilitation of Streets, Unit 55 (Pearl City Area)",2013/03/18 00:00:00+00,2013/10/13 00:00:00+00,Hoomalu St,2013/06/14 00:00:00+00,0.00358709882694592
4542,5927,07-0169-3585,"Rehabilitation of Streets, Unit 47 (Waipio Gentry Area)",2014/02/03 00:00:00+00,2014/11/29 00:00:00+00,Waipio Uka St,2014/10/03 00:00:00+00,0.000675763063329497
4543,5928,10-0402-11034,"Rehabilitation of Localized Streets, Phase 10A (Kailua Town, Kalaheo Hillside, Waimanalo & Waimalo Beach Areas)",2013/05/20 00:00:00+00,2015/04/24 00:00:00+00,Kaiholu St,2013/05/30 00:00:00+00,0.00100149001162694
4544,5929,09-0771-12030,"Rehabilitation of Localized Streets, Phase 7B (Kalihi Valley, Ewa Beach, West Loch, and Ewa Villages Areas)",2012/07/02 00:00:00+00,2014/04/15 00:00:00+00,Malako St,2013/02/28 00:00:00+00,0.00116744858689548
4545,5930,14-0553-13256,"Rehabilitation of Localized Streets, Phase 12A (Kalihi, Kamehameha Heights, Alewa)",2015/04/06 00:00:00+00,2015/11/16 00:00:00+00,Owawa St,2015/05/27 00:00:00+00,0.00125589705669846
4546,5931,10-0465-8119,"Rehabilitation of Localized Streets, Phase 6B (McCully/ Makiki/upper Makiki)",2012/03/27 00:00:00+00,2012/12/31 00:00:00+00,Makiki St,2013/03/13 00:00:00+00,0.000665074620234354
4547,5932,11-0169-10662,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Nanea Ave,2013/07/25 00:00:00+00,0.00239766330458354
4548,5933,14-0553-13060,"Rehabilitation of Localized Streets, Phase 12A (Kalihi, Kamehameha Heights, Alewa)",2015/04/06 00:00:00+00,2015/11/16 00:00:00+00,Kula St,2015/07/23 00:00:00+00,0.00278052671130866
